NUMBER,WHO_ID,DATASET,PROP_ID,WHO_REGION,COUNTRY /ORGANIZATION,COUNTRY_CODE,ISO_3166_1_NUMERIC,ADMIN_LEVEL,AREA_COVERED,PROV_CATEGORY,PROV_SUBCATEGORY,PROV_MEASURE,WHO_CODE,WHO_CATEGORY,WHO_SUBCATEGORY,WHO_MEASURE,TARGETED,VALUE_USD,PERCENT_INTEREST,SUMMARY,NON_COMPLIANCE,RESPONSE_TYPE,SOURCE,SOURCE_TYPE,LINK,SOURCE_ALT,DATE_START,DATE_END,DATE ADDED,Sys_BatchID
19381,GPHIN05828,GPHIN,5828,WPRO,China,CHN,156,national,,,,EDUCATION CAMPAIGN,8.4.1,Other measures,Communications and engagement,General public awareness campaigns,,,,"On 13 Apri, China's National Health Commission published a technical guideline for COVID-19 Prevention and Control in Colleges and Universities.",,,,Official,http://www.nhc.gov.cn/jkj/s3577/202004/7838c406600d4d38a11f5675c98a2ecf.shtml,,2020-04-14,,2020-04-14,9261
13131,GPHIN01570,GPHIN,1570,WPRO,China,CHN,156,national,,,,EDUCATION CAMPAIGN,8.4.1,Other measures,Communications and engagement,General public awareness campaigns,,,,"On 23 February, China CDC published a graph to explain the 10 diffferences between the 4th and 5th versions of Prevention and Control Plan for Novel Coronavirus Pneumonia.",,,,Official,http://www.chinacdc.cn/jkzt/crb/zl/szkb_11803/jszl_11815/202002/t20200223_213635.html,,2020-02-24,,2020-02-24,9261
11097,GPHIN00112,GPHIN,112,WPRO,China,CHN,156,national,,,,MASS GATHERING CANCELLATION,4.3.4,Social and physical distancing measures,"Gatherings, businesses and services","Cancelling, restricting or adapting mass gatherings",,,,"President Xi Jinping has ordered Chinese military to keep its mission firmly in mind and shoulder responsibility to make contributions to winning the battle against the novel coronavirus epidemic. Xi, also general secretary of the Communist Party of China (CPC) Central Committee and chairman of the Central Military Commission, made the remarks in a recent instruction to the military on the prevention and control of the outbreak of pneumonia caused by the novel coronavirus. 
The military resolutely implemented the decisions and arrangements of the CPC Central Committee after the novel coronavirus outbreak in Wuhan of Hubei Province, Xi said, adding that the armed forces rapidly initiated the joint prevention and control mechanism and sent elite medical teams to combat the epidemic at the frontline. Xi ordered military hospitals engaged in the epidemic control to treat patients with all-out efforts and military research institutions to step up scientific research to contribute to winning the battle against the epidemic.",,,,Official,http://www.china.org.cn/china/2020-01/30/content_75658494.htm,,2020-01-30,,2020-01-30,9261
14225,GPHIN02341,GPHIN,2341,WPRO,Australia,AUS,36,national,,,,EDUCATION CAMPAIGN,8.4.1,Other measures,Communications and engagement,General public awareness campaigns,,,,"On 2 March, the Australian Department of Health issued updated information sheet for universities, higher education and vocational education facilities, their students and staff about COVID-19, in both English and Simplified Chinese.",,,,Official,https://www.health.gov.au/resources/publications/coronavirus-covid-19-information-for-universities-higher-education-and-vocational-education-facilities,,2020-03-02,,2020-03-02,9261
12110,GPHIN00821,GPHIN,821,WPRO,China,CHN,156,national,,,,OTHER,9,Coding required,Coding required,Coding required,,,,"Production of medical and daily necessities such as masks and protective suits is steadily recovering in China to support the prevention and control of the novel coronavirus outbreak. More than 76 percent of mask production capacity in China's 22 provincial regions, and 77 percent of protective suit productionhad been resumed as of 10 February.",,,,Official,http://www.china.org.cn/china/2020-02/11/content_75694092.htm,,2020-02-11,,2020-02-11,9261
13755,GPHIN01960,GPHIN,1960,AMRO,United States Of America,USA,840,national,,,,EDUCATION CAMPAIGN,8.4.1,Other measures,Communications and engagement,General public awareness campaigns,,,,"CDC on 26 February released a webpage, called "" Share the Facts, Stop Fear"", to educate the public about the facts about COVID-19 and help to stop the spread of rumors.",,,,Official,https://www.cdc.gov/coronavirus/2019-ncov/about/share-facts-stop-fear.html,,2020-02-27,,2020-02-27,9261
15922,GPHIN03710,GPHIN,3710,EURO,United Kingdom Of Great Britain And Northern Ireland,GBR,826,national,,,,OTHER,9,Coding required,Coding required,Coding required,,,,"The advice for anyone in any setting is to follow these main guidelines. The most common symptoms of coronavirus (COVID-19) are recent onset of a new continuous cough and/or high temperature. If you have these symptoms, however mild, stay at home and do not leave your house for 7 days from when your symptoms started. You do not need to call NHS 111 to go into self-isolation. If your symptoms worsen during home isolation or are no better after 7 days, contact NHS 111 online. If you have no internet access, you should call NHS 111. For a medical emergency dial 999.",,,,Official,https://www.gov.uk/government/collections/coronavirus-covid-19-list-of-guidance,,2020-03-17,,2020-03-17,9261
11835,GPHIN00618,GPHIN,618,AFRO,Uganda,UGA,800,national,,,,AIRPORT SCREENING: ENTRY,5.5,International travel measures,,Entry screening and isolation or quarantine,,,,"Uganda has intensified its vigilance to quickly identify any suspected cases of 2019-nCoV by enhancing the surveillance and reporting systems. This is aimed at preventing entry and spread of the deadly virus into the country. 
MOH has developed a preparedness plan costed at UGX 25 billion for handling the threat of this epidemic, which will be funded by the Government of Uganda and partners. 
Enhance screening have been implemeted at Entebbe International Airport. All travelIers will be screened and more emphasis will be put on those travelling in from China. These found with signs and symptoms will be quarantined in the Entebbe Regional Referral Hospital and China-Uganda Friendship hospital, Naguru. Those without visible symptoms will be isolated and quarantined in their houses after sensitization. They will be followed up for 14 days by surveillance officers for symptoms of the 2019 n-Cov on a daily basis. 
All travelers arriving into the country from China or the 23 countries with confirmed cases will be required to provide their personal details for further follow up.
Health workers at all health facilities across the country and points of entry have been provided guidelines for control and protection of the new coronavirus. 
MOH advises the general public against shaking of hands whether it is for purposes of greeting or otherwise.
MOH is currently undertaking risk communication and public awareness campaigns to educate the general public on how to prevent the novel coronavirus. All persons will be reached with these messages either through print, radio, social media, door to door or television and digital media.",,,,Official,https://www.afro.who.int/news/update-ugandas-preparedness-situation-following-2019-novel-coronavirus-outbreak-china-and,,2020-02-07,,2020-02-07,9261
11095,GPHIN00112,GPHIN,112,WPRO,China,CHN,156,national,,,,TRAVEL BAN,5.7,International travel measures,,Suspending or restricting international flights,,,,"President Xi Jinping has ordered Chinese military to keep its mission firmly in mind and shoulder responsibility to make contributions to winning the battle against the novel coronavirus epidemic. Xi, also general secretary of the Communist Party of China (CPC) Central Committee and chairman of the Central Military Commission, made the remarks in a recent instruction to the military on the prevention and control of the outbreak of pneumonia caused by the novel coronavirus. 
The military resolutely implemented the decisions and arrangements of the CPC Central Committee after the novel coronavirus outbreak in Wuhan of Hubei Province, Xi said, adding that the armed forces rapidly initiated the joint prevention and control mechanism and sent elite medical teams to combat the epidemic at the frontline. Xi ordered military hospitals engaged in the epidemic control to treat patients with all-out efforts and military research institutions to step up scientific research to contribute to winning the battle against the epidemic.",,,,Official,http://www.china.org.cn/china/2020-01/30/content_75658494.htm,,2020-01-30,,2020-01-30,9261
20545,GPHIN06494,GPHIN,6494,WPRO,China,CHN,156,national,,,,OTHER,9,Coding required,Coding required,Coding required,,,,"As indicated in China CDC's Weekly Journal, China has established the National Immunization Advisory Committee (NIAC) Technical Working Group on COVID-19 Vaccines.  The report also reveals NIAC references, anticipated products, as well as contact information for the technical working groups (TWGs).",,,,Official,http://weekly.chinacdc.cn/en/article/id/be683f13-0d56-471e-bd04-ebab8521a95e,,2020-04-21,,2020-04-21,9261
16298,GPHIN03983,GPHIN,3983,AMRO,Canada,CAN,124,national,,,,OTHER,9,Coding required,Coding required,Coding required,,,,"Health Canada is aware of reports, including on social media, that reference safety issues with the use of ibuprofen in COVID-19 cases. There is no scientific evidence that establishes a link between ibuprofen, or other non-steroidal anti-inflammatory drugs (NSAIDs), and the worsening of COVID-19 symptoms. The Government of Canada is monitoring the situation closely, including reviewing new information and reports as they become available, and will take the appropriate action to help protect the health and safety of Canadians.",,,,Official,https://healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2020/72633a-eng.php,,2020-03-20,,2020-03-20,9261
12646,GPHIN01267,GPHIN,1267,AMRO,United States Of America,USA,840,national,,,,VACCINE/MCM DEPLOYED,7,Biological measures,,,,,,"As part of the rapid global response to the 2019 novel coronavirus (SARS-CoV-2), the U.S. Department of Health and Human Services' Office of the Assistant Secretary for Preparedness and Response (ASPR) will use an existing partnership with Janssen Research & Development, part of Johnson & Johnson, to help develop treatments for coronavirus infections. The Biomedical Advanced Research and Development Authority (BARDA), part of ASPR, will collaborate with Janssen to identify medicines that might be used safely and effectively to reduce the severity of illness and treat coronavirus infections.",,,,Official,https://www.hhs.gov/about/news/2020/02/18/hhs-janssen-collaborate-to-develop-coronavirus-therapeutics.html,,2020-02-18,,2020-02-18,9261
11238,GPHIN00226,GPHIN,226,WPRO,China,CHN,156,national,,,,OTHER,9,Coding required,Coding required,Coding required,,,,"China has adopted more favorable tax policies to speed up the import of supplies used for the prevention and control of the novel coronavirus. Preferential tax policies will be valid from 1 January to 31 March, according to a statement jointly released by the Ministry of Finance (MOF) and other governmental departments. Donated supplies for the epidemic prevention and control have been exempt from import duties, import value-added tax and consumption tax, according to sources of the MOF. The scope of the donated supplies has been expanded to include reagents, disinfectant items, protective goods, ambulances, epidemic control vehicles, disinfection vehicles and emergency command vehicles.",,,,Official,http://www.china.org.cn/business/2020-02/02/content_75665546.htm,,2020-02-02,,2020-02-02,9261
11981,GPHIN00720,GPHIN,720,WPRO,China,CHN,156,national,,,,AIRPORT SCREENING: ENTRY,5.5,International travel measures,,Entry screening and isolation or quarantine,,,,"Beijing has stepped up inspection and screening efforts, particularly at the community level, to detect cases of possible infection among people returning to Beijing and put them under treatment. Drug retailers will be on the front line to help locate feverish people via a mechanism for reporting buyers of cold or fever treatments on a daily basis. Residents are urged to wear masks and body temperatures are to be checked.
The Beijing Municipal Commission of Transport said the number of passengers entering the capital on trains from Feb 2 to Feb 18－on the return leg of the Spring Festival travel rush－is expected to reach 2.06 million.",,,,Official,https://www.chinadaily.com.cn/a/202002/10/WS5e40a6eca31012821727622f.html,,2020-02-10,,2020-02-10,9261
11601,GPHIN00457,GPHIN,457,WPRO,China,CHN,156,other,Taiwan,,,TRAVEL BAN,5.7,International travel measures,,Suspending or restricting international flights,,,,"Considering the severe outbreak situation in China and close cross-strait social and commercial exchanges, the Central Epidemic Command Center (CECC) on February 5 announced that starting from February 6, travelers with a history of travel to China, Hong Kong and Macau are required to be under home quarantine after entering Taiwan. Nonetheless, travelers returning to Taiwan who were permitted to visit Hong Kong and Macau are required to conduct self-health management for 14 days. The entry of Chinese residents will be suspended.
On 5 February, CECC also raised the travel notice level for Hong Kong and Macau was raised to Level 2: Alert, providing that community-transmitted cases have been identified in these two regions.",,,,Official,https://www.cdc.gov.tw/En/Bulletin/Detail/KMAEC24Yf_5cm94oNL4Jxg?typeid=158,,2020-02-05,,2020-02-05,9261
12665,GPHIN01276,GPHIN,1276,AMRO,United States Of America,USA,840,national,,,,QUARANTINE / MONITORING,3.2.2,Surveillance and response measures,Tracing and quarantining contacts,Quarantine,,,,"CDC on 18 February provided an update on the Diamond Princess Cruise Ship in Japan and assesses that it may not have been sufficient to prevent transmission among individuals on the ship. CDC believes the rate of new infections on board, especially among those without symptoms, represents an ongoing risk. 
CDC decides that all passengers and crew of the ship will be placed under travel restrictions. After disembarkation from the Diamond Princess, these passengers and crew will be required to wait 14 days without having symptoms or a positive coronavirus test result before they are permitted to board flights to the United States. If an individual from this cruise arrives in the United States before the 14-day period ends, they will still be subject to a mandatory quarantine until they have completed the 14-day period with no symptoms or positive coronavirus test results.
Currently, there are more than 100 U.S. citizens still onboard the Diamond Princess cruise ship or in hospitals in Japan.",,,,Official,https://www.cdc.gov/media/releases/2020/s0218-update-diamond-princess.html,,2020-02-19,,2020-02-19,9261
14991,GPHIN02976,GPHIN,2976,AMRO,United States Of America,USA,840,national,,,,EDUCATION CAMPAIGN,8.4.1,Other measures,Communications and engagement,General public awareness campaigns,,,,"On 8 March, CDC provided updated Environmental Cleaning and Disinfection Recommendations for US Community Facilities with Suspected/Confirmed Coronavirus Disease 2019.",,,,Official,https://www.cdc.gov/coronavirus/2019-ncov/community/organizations/cleaning-disinfection.html,,2020-03-09,,2020-03-09,9261
11459,GPHIN00359,GPHIN,359,AFRO,Eritrea,ERI,232,national,,,,AIRPORT SCREENING: ENTRY,5.5,International travel measures,,Entry screening and isolation or quarantine,,,,"The Ministry of Health as guided and in collaboration with WHO has commenced conduct of relevant activities in relation to the preparedness against the novel coronavirus. On the 31 January 2020, the MOH has organized a briefing session at the Minister’s Office for health stakeholders including the UN Agencies. The Ministerial briefing highlighted what has been accomplished to-date as part of the preparedness and important additional support to strengthen the current level of preparedness across the country. 
Authorities at the Asmara International Airport have also been mobilized to carryout screening of incoming travelers using Thermo-scanner. The Asmara airport authorities have also allocated a special room to conduct interviews and examination of all suspected travelers at the airport. Similarly, all ports of entry including ground crossings, sea port and other airports have already been mobilized and are on high alert.
The MOH has already designated the Villagio Hospital in Asmara as isolation and quarantine facility where suspected cases will be isolated, followed up and treated. Arrangements for safe transportation is in place to transport suspected cases to the isolation facility.
Information dissemination to the public has since commenced and is ongoing through the mass media, mainly TV and Radio, and various community administrative channels.
Training for identified health workers across the country has also commenced including laboratory workers and Points of Entry (POE) staff using identified SOPs and WHO guidelines.",,,,Official,https://www.afro.who.int/news/eritrea-strengthening-preparedness-2019-novel-coronavirus-2019-ncov,,2020-02-03,,2020-02-03,9261
20633,GPHIN06537,GPHIN,6537,SEARO,Myanmar,MMR,104,national,,,,OTHER,9,Coding required,Coding required,Coding required,,,,"WHO on 21 April issued a statement to condole death of staff in Myanmar, and condemn targeting of health workers involved in COVID19 response.  WHO calls for governments and communities to address concerns, fears, and misconceptions that may be triggering such incidents.",,,,Official,https://www.who.int/southeastasia/news/detail/21-04-2020-who-condoles-death-of-staff-in-myanmar-condemns-targeting-of-health-workers-involved-in-covid19-response,,2020-04-21,,2020-04-21,9261
11244,GPHIN00232,GPHIN,232,AMRO,United States Of America,USA,840,national,,,,AIRPORT SCREENING: ENTRY,5.5,International travel measures,,Entry screening and isolation or quarantine,,,,"President Trump on 31 January issued a Proclamation on Suspension of Entry as Immigrants and Nonimmigrants of Persons who Pose a Risk of Transmitting 2019 Novel Coronavirus. This proclamation is effective at 5:00 p.m. eastern standard time on February 2, 2020. Accoring to the proclamation, any US citizen who has traveled in China will undergo health screening upon entry into the country and will be asked to self-quarantine for 14 days. US citizens who have traveled to Hubei province, where the virus originated, will be held under mandatory quarantine for 14 days after they return to the US. All incoming flights from China will be restricted to seven airports to consolidate passenger screening and evaluation: John F. Kennedy International Airport, Chicago O’Hare International Airport, San Francisco International Airport, Seattle-Tacoma International Airport, Hartsfield-Jackson Atlanta International Airport, Los Angeles International Airport, and Daniel K. Inouye International Airport in Honolulu. Immediate family members of US citizens and permanent residents will be allowed to enter the country.",,,,Official,"https://www.whitehouse.gov/presidential-actions/proclamation-suspension-entry-immigrants-nonimmigrants-persons-pose-risk-transmitting-2019-novel-coronavirus/
https://www.theverge.com/2020/1/31/21117403/trump-coronavirus-ban-travel-non-us-citizens-china",,2020-02-03,,2020-02-03,9261
12096,GPHIN00807,GPHIN,807,WPRO,China,CHN,156,national,,,,QUARANTINE / MONITORING,3.2.2,Surveillance and response measures,Tracing and quarantining contacts,Quarantine,,,,"China's fast-growing aviation industry is playing its part in facilitating the prevention and control of the novel coronavirus outbreak. China's civil aviation authorities are active in directing and coordinating the country's airliners and aviation enterprises to join efforts in fighting against the virus, according to the Civil Aviation Administration of China (CAAC). Chinese aviation companies are bringing advantages in fast and high-quality transportation, as well as the expanding fleet and networks. They are active in carrying medical personnel, bringing back stranded Chinese back home from overseas and deliver emergency supplies to the virus-hit regions. As of  8 February, a total of 13 Chinese airliners had sent 72 flights in emergency missions of carrying more than 9,500 medical personnel and 370 tonnes of supplies to support Wuhan, the epicenter of the coronavirus outbreak in central China's Hubei Province. The country's major civil aviation players are injecting larger airplanes and adding new routes to ensure the in-time transport of medical team and emergency supplies.",,,,Official,http://www.china.org.cn/business/2020-02/10/content_75688556.htm,,2020-02-10,,2020-02-10,9261
11439,GPHIN00347,GPHIN,347,AMRO,Canada,CAN,124,national,,,,EDUCATION CAMPAIGN,8.4.1,Other measures,Communications and engagement,General public awareness campaigns,,,,"On 30 January, Hockey Canada issued issued guidelines for hockey participants to follow in order to guard against novel coronavirus infection.",,,,Official,https://medicinehatminorhockey.com/bed-head-deep-waver/,,2020-02-03,,2020-02-03,9261
16163,GPHIN03879,GPHIN,3879,AMRO,United States Of America,USA,840,national,,,,OTHER,9,Coding required,Coding required,Coding required,,,,"On 18 March 2020, the U.S. Food and Drug Administration (FDA) issued guidance to communicate FDA’s intention to temporarily not enforce supplier verification onsite audit requirements for receiving facilities and importers under the FDA Food Safety Modernization Act (FSMA) in response to the global pandemic of COVID-19. FDA does not intend to enforce the onsite audit requirements if other supplier verification methods are used instead. In addition, the FDA issued a Guidance on Conduct of Clinical Trials of Medical Products during theCOVID-19 Pandemic (for Industry, Investigators, and Institutional Review Boards).",,,,Official,http://s2027422842.t.en25.com/e/es?s=2027422842&e=312259&elqTrackId=376c7bc788024cd5a73d955f2e3dcbdc&elq=0da1d3dc143f4132aea01413529d54f8&elqaid=11637&elqat=1,,2020-03-19,,2020-03-19,9261
15321,GPHIN03244,GPHIN,3244,AFRO,Sierra Leone,SLE,694,national,,,,QUARANTINE / MONITORING,3.2.2,Surveillance and response measures,Tracing and quarantining contacts,Quarantine,,,,"The Sierra Leone authorities have introduced precautionary quarantine measures for people who have visited China, South Korea, Iran and Italy in the 14 days prior to arrival in Sierra Leone, due to concerns about ongoing coronavirus (COVID-19) outbreak .",,,,Official,https://www.gov.uk/foreign-travel-advice/sierra-leone,,2020-03-10,,2020-03-10,9261
12179,GPHIN00881,GPHIN,881,WPRO,China,CHN,156,national,,,,RESEARCH ADVANCEMENT,10,Not of interest,Not of interest,Not of interest,,,,"Artificial intelligence has been playing a prominent role in the battle against the novel coronavirus, as high-tech enterprises launched targeted AI solutions for different virus control scenarios, empowering front-line workers with more flexibility and convenience, including AI fever screening systems; AI phonetic interface robots; AI doctors in different fields.",,,,Official,http://global.chinadaily.com.cn/a/202002/11/WS5e427528a310128217276ba7.html,,2020-02-12,,2020-02-12,9261
11982,GPHIN00720,GPHIN,720,WPRO,China,CHN,156,national,,,,QUARANTINE / MONITORING,3.2.2,Surveillance and response measures,Tracing and quarantining contacts,Quarantine,,,,"Beijing has stepped up inspection and screening efforts, particularly at the community level, to detect cases of possible infection among people returning to Beijing and put them under treatment. Drug retailers will be on the front line to help locate feverish people via a mechanism for reporting buyers of cold or fever treatments on a daily basis. Residents are urged to wear masks and body temperatures are to be checked.
The Beijing Municipal Commission of Transport said the number of passengers entering the capital on trains from Feb 2 to Feb 18－on the return leg of the Spring Festival travel rush－is expected to reach 2.06 million.",,,,Official,https://www.chinadaily.com.cn/a/202002/10/WS5e40a6eca31012821727622f.html,,2020-02-10,,2020-02-10,9261
14016,GPHIN02163,GPHIN,2163,EMRO,Saudi Arabia,SAU,682,national,,,,TRAVEL BAN,5.7,International travel measures,,Suspending or restricting international flights,,,,"On behalf of the scholars and intellectuals of the Islamic world, the Muslim World League (MWL) on 28 February affirmed its full support for the temporary precautionary measures taken by the Kingdom of Saudi Arabia to suspend entry to the Kingdom for the purposes of Umrah and visit the Prophet’s Mosque.",,,,Official,https://www.spa.gov.sa/viewstory.php?lang=en&newsid=2040581,,2020-02-28,,2020-02-28,9261
12961,GPHIN01477,GPHIN,1477,EURO,United Kingdom Of Great Britain And Northern Ireland,GBR,826,national,,,,AIRPORT SCREENING: EXIT,5.6,International travel measures,,Exit screening and isolation or quarantine,,,,"The latest update from the Government of UK on 21 Feburuary has advised travellers returning from China, Thailand, Japan, Republic of Korea, Hong Kong, Taiwan, Singapore, Malaysia, Macau in the last 14 days and develop flu-like symptoms to self-isolate and call NHS 111 to inform of travel history, 
As of 21 February, a total of 5,885 people have been tested in the UK, of which 5,876 were confirmed negative and 9 positive.",,,,Official,https://www.gov.uk/guidance/wuhan-novel-coronavirus-information-for-the-public,,2020-02-21,,2020-02-21,9261
13548,GPHIN01817,GPHIN,1817,WPRO,China,CHN,156,national,,,,QUARANTINE / MONITORING,3.2.2,Surveillance and response measures,Tracing and quarantining contacts,Quarantine,,,,"The Chinese Ministry of Culture and Tourism on Monday 24 February issued a travel safety alert advising Chinese tourists to raise their safety awareness and avoid traveling to the United States.
The ministry said that Chinese tourists have been treated unfairly in the United States due to the excessive epidemic prevention measures it recently adopted and its domestic safety situation
The public health response in the U.S. is multi-layered, with the goal of detecting and minimizing introductions of this virus in the United States so as to reduce the spread and the impact of this virus. CDC is operationalizing all of its pandemic preparedness and response plans, working on multiple fronts to meet these goals, including specific measures to prepare communities to respond local transmission of the virus that causes COVID-19. There is an abundance of pandemic guidance developed in anticipation of an influenza pandemic that is being repurposed and adapted for a COVID-19 pandemic.",,,,Official,http://www.ecns.cn/news/2020-02-24/detail-ifztvsqr0579608.shtml,,2020-02-25,,2020-02-25,9261
11994,GPHIN00726,GPHIN,726,WPRO,China,CHN,156,national,,,,RESEARCH ADVANCEMENT,10,Not of interest,Not of interest,Not of interest,,,,"On 9 February, China CDC published a correction to the 5th version of the Novel Coronavirus Pneumonia (NCP) Diagnosis and Treatment Guidelines publishe on 5 February, to adjust the usage dose for Ribavirin.",,,,Official,"http://www.chinacdc.cn/jkzt/crb/zl/szkb_11803/jszl_11815/202002/t20200205_212257.html
http://www.chinacdc.cn/jkzt/crb/zl/szkb_11803/jszl_11815/202002/t20200209_212396.html",,2020-02-10,,2020-02-10,9261
11912,GPHIN00672,GPHIN,672,AMRO,Jamaica,JAM,388,national,,,,QUARANTINE / MONITORING,3.2.2,Surveillance and response measures,Tracing and quarantining contacts,Quarantine,,,,"Jamaica's Health and Wellness Minister has said he country has what is necessary to guard against 2019-nCoV, both at the hospital level and at the ports of entry. Every hospital has an isolation area, the Chest Hospital remains the specialist institution to deal with respiratory ailments.
Thermal and handheld fever scanners are being used at the Norman Manley International Airport (NMIA). There is a isolation unit at NMIA, which consists of a total of six beds in three rooms.",,,,Official,https://jis.gov.jm/jamaica-prepared-to-handle-coronavirus/,,2020-02-07,,2020-02-07,9261
11254,GPHIN00241,GPHIN,241,WPRO,China,CHN,156,national,,,,OTHER,9,Coding required,Coding required,Coding required,,,,"China CDC has published in its weekly Jounal a study called ""Notifiable Infectious Diseases Reports: Reported Cases and Deaths of National Notifiable Infectious Diseases — China, December, 2019"".",,,,Official,http://weekly.chinacdc.cn/en/article/id/9c1018fe-588e-4a89-b42e-c95ed0440288,,2020-02-03,,2020-02-03,9261
17549,GPHIN04937,GPHIN,4937,AMRO,United States Of America,USA,840,national,,,,RESEARCH ADVANCEMENT,10,Not of interest,Not of interest,Not of interest,,,,"In response to the COVID-19 pandemic, the FDA, in collaboration with the CDC, the Biodefense and Emerging Infections Research Resources Repository (BEI Resources), the Institute for Genome Sciences at the University of Maryland and the National Center for Biotechnology Information (NCBI), has developed quality-controlled, reference sequence data for the SARS-CoV-2 reference strain for the United States. Availability of traceable and quality-controlled data will help test developers and vaccine developers.",,,,Official,https://www.fda.gov/medical-devices/database-reference-grade-microbial-sequences-fda-argos/fda-argos-sars-cov-2-reference-grade-sequence-data?utm_campaign=2020-04-01%20FDA-ARGOS%20SARS-CoV-2%20Reference%20Sequence%20Data&utm_medium=email&utm_source=Eloqua,,2020-04-02,,2020-04-02,9261
16415,GPHIN04072,GPHIN,4072,WPRO,Australia,AUS,36,national,,,,CLOSING PUBLIC PLACES,4.2.2,Social and physical distancing measures,"Offices, businesses, institutions and operations",Closing,,,,The Australian Health Protection Principal Committee (AHPPC) is the key decision making committee for health emergencies. It is comprised of all state and territory Chief Health Officers and is chaired by the Australian Chief Medical Officer. It annouced: Further short term social distancing measures.,,,,Official,,,2020-03-23,,2020-03-23,9261
12098,GPHIN00810,GPHIN,810,AMRO,United States Of America,USA,840,national,,,,LAND SCREENING,5.5,International travel measures,,Entry screening and isolation or quarantine,,,,"On 10 February, USCDC posted "" Interim Guidance for Ships on Managing 2019 Novel Coronavirus"".  This document provides guidance for ships originating from, or stopping in, the United States to help prevent, detect, and medically manage suspected 2019-nCoV infections.",,,,Official,https://www.cdc.gov/quarantine/maritime/recommendations-for-ships.html,,2020-02-10,,2020-02-10,9261
20125,GPHIN06229,GPHIN,6229,AMRO,United States Of America,USA,840,national,,,,VACCINE/MCM DEPLOYED,7,Biological measures,,,,,,"Actions announced by FDA on 16 April: 
!)  Provided an update on one potential treatment called convalescent plasma and is encouraging those who have recovered from COVID-19 to donate plasma to help others fight this disease. 
2)  Issued warning letters to Fishman Chemical of North Carolina, LLC., and Dr. G’s Marine Aquaculture, which distribute chloroquine phosphate products intended to treat disease in aquarium fish.
3) issued a warning letter to a seller, The Art of Cure, of fraudulent COVID-19 products.
4) Posted tips on Shopping for Food During the COVID-19 Pandemic - Information for Consumers and a downloadable PDF. These materials reassure consumers that there is currently no evidence of human or animal food or food packaging being associated with transmission of the COVID-19. 
5) Issued a guidance for immediate implementation setting forth a temporary policy for outsourcing facilities to compound certain human drugs for hospitalized patients during the COVID-19 public health emergency. 
6) Added content to the question-and-answer appendix in its guidance titled “Conduct of Clinical Trials of Medical Products during COVID-19 Public Health Emergency.”
7) Issued guidance to help expand the availability of telethermographic systems used for body temperature measurements for triage use for the duration of the public health emergency.",,,,Official,https://www.fda.gov/news-events/press-announcements/coronavirus-covid-19-update-daily-roundup-april-16-2020,,2020-04-17,,2020-04-17,9261
12480,GPHIN01153,GPHIN,1153,WPRO,China,CHN,156,other,Hong Kong,,,OTHER,9,Coding required,Coding required,Coding required,,,,"As the Government understands that outsourced cleansing service contractors have encountered difficulties in procuring masks, to protect the health of cleansing workers and maintain environmental hygiene, the Chief Executive announced on February 8 that the Correctional Services Department (CSD) would increase the production of an additional 700 000 masks, which would be set aside for distributing to cleansing workers engaged by outsourced cleansing service contractors in order to relieve the imminent need.",,,,Official,https://www.info.gov.hk/gia/general/202002/17/P2020021700739.htm,,2020-02-17,,2020-02-17,9261
11893,GPHIN00661,GPHIN,661,WPRO,Vanuatu,VUT,548,national,,,,QUARANTINE / MONITORING,3.2.2,Surveillance and response measures,Tracing and quarantining contacts,Quarantine,,,,"As revealed by the International Air Transport Association (IATA), passengers who have transited, traveled or resided in China, Chinese Taipei, Macau, Hong Kong in the last 14 days must self-quarantine outside of Vanuatu for an additional 14 days before entering Vanuatu with a medical certificate from a registered practitioner certifying that they are free from Novel Coronavirus (2019-nCov).",,,,Official,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,,2020-02-07,,2020-02-07,9261
11795,GPHIN00583,GPHIN,583,WPRO,Australia,AUS,36,national,,,,QUARANTINE / MONITORING,3.2.2,Surveillance and response measures,Tracing and quarantining contacts,Quarantine,,,,"The advice of the Department of Foreign Affairs and Trade (DFAT) for travel to mainland China is 'level 4 – do not travel’. 
The Australian Health Protection Principal Committee (AHPPC) meets daily to make recommendations to adapt Australia’s response to the 2019-nCoV outbreak. Officials say Australia have in place border, isolation, surveillance and case tracing mechanisms, and health emergency response arrangements are flexible and scalable.  The advice of the Department of Foreign Affairs and Trade (DFAT) is in touch with those Australians who have asked for assistance to leave China. The Australian and Chinese Governments are working together on a second assisted departure from Wuhan to Australia for these people.",,,,Official,https://www.health.gov.au/news/coronavirus-update-at-a-glance,,2020-02-06,,2020-02-06,9261
