COUNTRY /ORGANIZATION,DATE ADDED,SOURCE,GPHIN ID,SUMMARY,LAND SCREENING,BORDER CLOSING,AIRPORT SCREENING: ENTRY,AIRPORT SCREENING: EXIT,QUARANTINE / MONITORING,TRAVEL ADVISORY,TRAVEL BAN,TRADE BANS,EDUCATION CAMPAIGN,MASS GATHERING CANCELLATION,REPATRIATION,VACCINE/MCM DEPLOYED,RESEARCH ADVANCEMENT,COMMENTS
China,2/11/2020,Official,,"The National Health Commission (NHC) on 10 February said that more medical assistance will be provided for virus-hit Hubei Province as part of the country's sweeping efforts to fight the novel coronavirus. Apart from the capital city of Wuhan, Hubei's 16 cities, prefectures and county-level cities will be paired with 19 other provincial-level areas across the country. The 19 provincial-level areas will send medical staff and offer telemedicine services to help Hubei treat patients infected with the virus and reduce infection and mortality rate",,,,,,,,,,,,,,http://www.china.org.cn/china/2020-02/11/content_75693002.htm
China,2/11/2020,Official,,"Production of medical and daily necessities such as masks and protective suits is steadily recovering in China to support the prevention and control of the novel coronavirus outbreak. More than 76 percent of mask production capacity in China's 22 provincial regions, and 77 percent of protective suit productionhad been resumed as of 10 February.",,,,,,,,,,,,,,http://www.china.org.cn/china/2020-02/11/content_75694092.htm
China,2/11/2020,Media,,"WHO experts team, lead by Canadian epidemiologist Bruce Aylward, arrived in China on 10 February. The executive director of WHO’s health emergencies program says the team’s mission will be to learn what investigations into the virus have already been carried out in China and to understand what has been one of the largest public health responses in history. They will also be looking to the origin of the virus and the severity of the disease. ",,,,,,,,,,,,,,https://www.eckvilleecho.com/news/renowned-canadian-epidemiologist-to-lead-coronavirus-study-team-who/
China,2/11/2020,Official,,"China has rolled out a mobile app ""close contact detector,"" enabling people to check whether they were at the risk of catching the novel coronavirus. Following its release on the evening of February 9, users can scan a QR code via mobile apps like Alipay, WeChat or QQ to make an inquiry. After registering with a phone number, users need to enter their name and ID number to know whether they were in close contact with someone infected. Those who have been in close contact are advised to stay at home and get in touch with local health authorities.",,,,,,,,,x,,,,x,http://en.nhc.gov.cn/2020-02/10/c_76416.htm
China,2/11/2020,Media,,"At least three Chinese cities announced in the past week that they would stop the sale of medicines for fever and cough, two of the major symptoms for the new coronavirus, so that people will go to hospitals for treatment instead of self-medicating and staying home. ",,,,,x,,,,,,,,,https://qz.com/1799725/chinese-cities-try-to-flush-out-coronavirus-patients-by-stopping-medicine-sales/
China,2/11/2020,Media,,"Local authorities in eastern Zhejiang province have been ordered not to overreact to the outbreak of coronavirus, with the provincial government urging its cities and counties to “balance the relationship between controlling the coronavirus and resuming production”. The coastal province of 57 million residents, which is a key export and manufacturing base, was the first province to send out such instructions to the lower levels of government. 
Zhejiang was the first province to declare an A-level response to the outbreak on 23 January, a day ahead of Hubei, and it has been the third hardest hit province behind Hubei and Guangdong. ",,,,,,,,,x,,,,,https://www.scmp.com/economy/china-economy/article/3049821/coronavirus-chinese-province-orders-relaxation-excessive
China,2/11/2020,Media,,"China's Vice Premier has demanded four types of people in Wuhan be put into mandatory isolation in quarantine stations: confirmed cases, suspected cases, people who have close contact with the former two, and those who have fever.
Officials in Wuhan had screened more than 10 million residents after visiting 4.21 million households in 3,371 communities and villages from 8 -10 February and found 1,499 patients at their homes.  Wuhan's Communist Party Secretary said his government was aiming to identify and isolate all suspected coronavirus patients by 11 February.
Wuhan government on 10 February ordered all residential complexes to adopt a 'closed-off management' style, which means locals would need to present their IDs and have their temperatures taken in order to leave or enter. ",x,,,,x,,,,x,,,,,https://www.dailymail.co.uk/news/article-7987753/Wuhan-officials-1-499-critically-ill-coronavirus-patients-door-door-health-checks.html
China,2/11/2020,Media,,"China’s Huanggang city, one of the hardest hit by the coronavirus outbreak, is still facing a severe outbreak situation and a lack of medical supplies, its Communist Party boss said on 11 February. The official said his government would seize the key window period, strengthen our pro-activeness in work, and resolutely win the fight against the epidemic. ",,,,,,,,,,,,,,https://www.channelnewsasia.com/news/asia/wuhan-virus-coronavirus-huanggang-city-12423964
China,2/11/2020,Media,1006296355,"The city of Wuhan has mobilized more than 34,000 officials, government workers and Communist Party of China members into its 1,100 communities to fight the epidemic. ",,,,,,,,,,,,,,http://www.ecns.cn/news/2020-02-12/detail-ifztmcih6522900.shtml
China,2/12/2020,Official,1006298623,"Artificial intelligence has been playing a prominent role in the battle against the novel coronavirus, as high-tech enterprises launched targeted AI solutions for different virus control scenarios, empowering front-line workers with more flexibility and convenience, including AI fever screening systems; AI phonetic interface robots; AI doctors in different fields. ",,,,,,,,,,,,,x,http://global.chinadaily.com.cn/a/202002/11/WS5e427528a310128217276ba7.html
China,2/12/2020,Official,,"On 12 February, the National Health Commission issued guidelines for the operation and management of air-conditioning and ventilation systems in offices and public places during the novel coronalvirus pneumonia epidemic, in order to further prevent the spread of the outbreak. ",,,,,,,,,x,,,,,http://www.nhc.gov.cn/jkj/s3577/202002/60b58b253bad4a17b960a988aae5ed92.shtml
China,2/12/2020,Official,,"Chinese authorities have called for improving the working conditions and care for medical personnel at the frontline against the novel coronavirus pneumonia. While highlighting proper rest and strengthened individual protection for medical staff, a circular jointly issued by the National Health Commission, the Ministry of Human Resources and Social Security and the Ministry of Finance on 12 February, required efforts to minimize hospital-acquired infections, adding that psychological intervention and counseling should be improved to reduce the psychological pressure of medical personnel.",,,,,,,,,x,,,,,http://www.china.org.cn/china/2020-02/12/content_75695939.htm
China,2/12/2020,Official,,"China's Ministry of Civil Affairs has issued a circular demanding community-level childcare workers find and help children whose parents or guardians are not around amid the novel coronavirus outbreak. The circular stressed a social assistance scheme to help children in need and streamline approval procedures to offer them prompt aid. Hotlines should also be set up to locate more children in need and offer related services,",,,,,,,,,x,,,,,http://www.china.org.cn/china/2020-02/12/content_75696828.htm
China,2/12/2020,Official,,"China will advance the toilet revolution and living environment improvement in rural areas to help contain the novel coronavirus epidemic, an agriculture and rural affairs official said on 12 February. The renovation of rural household toilets in eastern regions and city outskirts in central and western regions should be completed by the end of this year,",,,,,,,,,x,,,,,http://www.china.org.cn/china/2020-02/12/content_75696842.htm
China,2/12/2020,Media,,China's aviation authority from the Civil Aviation Administration of China (CAAC) on 12 February urged countries to follow the advice of international organizations and lift travel bans as early as possible to facilitate cross-border journeys. The CAAC has kept the International Civil Aviation Organization updated on China's epidemic control measures for international flights and strengthened communication with aviation authorities of other countries and regions.,,,,,,,x,,,,,,,http://www.xinhuanet.com/english/2020-02/12/c_138777848.htm
China,2/12/2020,Media,,China tech giants Alibaba and JD.com have introduced initiatives to help combat the novel coronavirus. Alibaba said o 10 Feruary that it will roll out some 20 measures including waiving platform fees and offering free services to Hubei-based merchants. While JD.com is running drone deliveries and tapping its smart assistant platform to provide Wuhan citizens updates on the virus.,,,,,,,,,,,,,,https://www.zdnet.com/article/china-tech-giants-chip-in-to-combat-coronavirus-global-shows-impacted/
China,2/12/2020,Media,,"Hilton has closed 150 hotels in China due to the novel coronavirus outbreak, its CEO said 10 February. The hotels total roughly 33,000 rooms. ",,,,,,,,,,x,,,,https://www.cnbc.com/2020/02/11/hilton-has-closed-150-hotels-in-china-due-to-coronavirus.html
China,2/12/2020,Media,1006281117,"Shenzhen MicroMultiCopter (MMC) launched the UAV prevention solutions and invested a service team of over 200 people to the front line with over 100 drones deployed in many cities in China. MMC drones are used for aerial broadcasting, disinfectant spraying, aerial thermal sensing and traffic control. ",x,,,,,,,,x,,,,x,https://www.prnewswire.com/in/news-releases/mmc-s-drones-used-in-the-battle-against-the-new-coronavirus-outbreak-893955024.html
China,2/12/2020,Media,1006300537,"On 12 February, the journal Nature published a report indicating that two researchers at the South China Agricultural University in Guangzhou have suggested that pangolins are the probable animal source of the novel coronavirus outbreak causing global alarm.",,,,,,,,,,,,,x,https://www.nature.com/articles/d41586-020-00360-6
China,2/12/2020,Official,,"On 12 February, the National Health Commission published a flow chart for monitoring and reporting of novel coronavirus pneumonia cases in provinces excluding Hubei, based on the 4th version of Prevention and Control Guidelines. ",,,,,,,,,x,,,,,http://www.nhc.gov.cn/jkj/s3578/202002/97a57aaa84804b45a520330a4289bbfe.shtml
China,2/12/2020,Official,,"On 12 February, China CDC published a list of designated hospitals for pregnant or maternal patients with suspected or confirmed novel coronavirus infection.    ",,,,,x,,,,x,,,,,http://www.nhc.gov.cn/fys/s7901/202002/d4e8fae0649745118f63136660f4c3b0.shtml
China,2/12/2020,Media,,"The Chinese scientists on 12 February published in journal The Lancet a stduy named ""Clinical characteristics and intrauterine vertical transmission potential of COVID-19 infection in nine pregnant women: a retrospective review of medical records"". Preliminary evidence suggests no vertical transmission of new coronavirus. ",,,,,,,,,,,,,x,"https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30360-3/fulltext
https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30365-2/fulltext"
China,2/12/2020,Media,,"The Formula 1 Chinese Grand Prix in Shanghai has been postponed over the novel coronavirus outbreak. In a statement issued on 12 February, F1 governing body FIA said the Chinese Grand Prix Promoter, Juss Sports Group, officially requested the postponement after ongoing discussions with the country's sports authorities. The FIA and F1 said it would continue monitoring the situation and explore the ""viability of potential alternative dates for the Grand Prix later in the year should the situation improve.""",,,,,,,,,,x,,,,https://www.formula1.com/en/latest/article.chinese-grand-prix-postponed-due-to-coronavirus-outbreak.3g2y5Ngyrk1MbNxQB9hj4s.html
China,2/12/2020,Media,,"JD.com, one of China's largest e-commerce firms, has promised to open up more than 20,000 new positions as the country's economy struggles under the novel coronavirus outbreak. Dada Group, a local on-demand delivery provider that is backed by JD, will create an additional 15,000 positions.",,,,,,,,,,,,,,https://edition.cnn.com/asia/live-news/coronavirus-outbreak-02-12-20-intl-hnk/index.html
China,2/12/2020,Official,,"China will take measures to prevent the spread of the novel coronavirus (COVID-19) in colleges and universities.
1)The Ministry of Education has required postponement of school semesters amid the COVID-19 outbreak. 2) Colleges and universities will reopen on a staggered schedule to avoid travel peaks of students and all schools must carry out disinfections after reopening. 3) Students coming from areas hard hit by the coronavirus epidemic. 4) Those with close contacts of confirmed cases or those having symptoms such as fever and cough, might need to be put in quarantine. 5) Other students will need to have their health conditions checked on a daily basis. 6) Students from Hubei Province will not be able to leave for schools outside the province until they meet local requirement,",x,,,,x,,x,,x,,,,,http://www.china.org.cn/china/2020-02/12/content_75698867.htm
China,2/12/2020,Official,,"The Ministry of Public Security has issued a circular, requiring police departments across China to ensure smooth traffic as the country fights against the novel coronavirus (COVID-19) outbreak, including exemption of public parking fees.   ",,,,,,,,,,,,,,http://www.china.org.cn/china/2020-02/12/content_75698866.htm
China,2/12/2020,Media,1006302529,"China has released a guideline to regulate the use of air-conditioning and ventilation systems in offices and public places amid an effort to contain the novel coronavirus. The operation of the air-conditioning and ventilation system in offices and public places should be halted once a suspected or confirmed case of pneumonia caused by the novel coronavirus is identified there, according to a circular issued by a State Council joint task force.
",,,,,x,,,,x,,,,,http://www.ecns.cn/news/society/2020-02-13/detail-ifztmcih6525783.shtml
China,2/12/2020,Official,1006303047,"A total of 925 patients infected with the novel coronavirus had been admitted to a 1,000-bed hospital built in 10 days in Wuhan, the epicenter of the virus outbreak, as of 10:30 p.m. Tuesday 11 February.

",,,,,,,,,,,,,x,http://www.china.org.cn/china/2020-02/12/content_75697655.htm
China,2/12/2020,Official,1006303046,"Chinese authorities have called for improving the working conditions and care for medical personnel at the frontline against the novel coronavirus pneumonia. According to a circular jointly issued by the National Health Commission, the Ministry of Human Resources and Social Security and the Ministry of Finance on Tuesday 11 February the payment of the allowance for medical workers should be guaranteed. The circular called for improved humanistic care and a safer working environment for medical staff, as well as stronger publicity for deeds of outstanding figures among medical personnel. Noting that the epidemic prevention and control efforts are at a crucial stage, the circular stressed renovating doctors' offices, duty rooms and lounges, and offering better logistics services for medical workers. While highlighting proper rest and strengthened individual protection for medical staff, the circular required efforts to minimize hospital-acquired infections, adding that psychological intervention and counseling should be improved to reduce the psychological pressure of medical personnel. The circular demanded financial subsidies be provided to front-line medical staff and epidemic prevention workers, and easy access to identify occupational injuries for medical personnel. 
It also stressed punishment for those who harm medical workers according to the law.
",,,,,,,,,,,,,,http://www.china.org.cn/china/2020-02/12/content_75695939.htm
China,2/12/2020,Media,1006303374,"Approved by Chairman of the Central Military Commission Xi Jinping, 2,600 additional medical personnel from the armed forces will be tasked with treating patients in two hospitals in Wuhan, capital city of Hubei Province and the epicenter of the novel coronavirus outbreak. They will follow the operation model of Huoshenshan Hospital and be tasked with treating confirmed patients of novel coronavirus (COVID-19) infection in Taikang Tongji Hospital and a branch of Hubei's Maternity and Child Health Care Hospital.",,,,,,,,,,,,,,http://www.ecns.cn/news/2020-02-13/detail-ifztrmvi9813325.shtml
China,2/13/2020,Media,,Chinese government allowed to seize private property to fight Coronavirus,,,,,,,,,,,,,,https://www.france24.com/fr/video/20200212-le-gouvernements-chinois-autoris%C3%A9-%C3%A0-saisir-des-propri%C3%A9t%C3%A9s-priv%C3%A9es-pour-combattre-le-coronavirus
China,2/13/2020,Media,1006306171,China's Ministry of Education has ordered extracurricular training organizations to suspend face-to-face classes to prevent the spread of the new coronavirus,,,,,,,,,,,,,,
China,2/13/2020,Official,,"On Feb 13, the State Council joint task force issued a circular to regulate the use of air-conditioning and ventilation systems in offices and public places amid an effort to contain the novel coronavirus. Those facilities should be halted once a suspected or confirmed case of pneumonia caused by the virus is identified there.
Beijing urged pharmacies to carry out real-name registration for customers who buy fever and cough medicine. They are required to register their names, addresses, ID card numbers and contact information, as well as the symptoms.
",,,,,,,,,,,,,,http://en.nhc.gov.cn/2020-02/13/c_76514.htm
China,2/13/2020,Official,,"On February 2020, the National Health Commission indicates the novel coronavirus pneumonia epidemic is noticeably slowing down in China, with Hubei province, the center of the outbreak, recording the lowest number of new infections since late January and the rest of the country seeing the total confirmed cases decline for eight consecutive days.",,,,,,,,,,,,,,http://en.nhc.gov.cn/2020-02/13/c_76526.htm
China,2/13/2020,Media,,"China's mask production capacity utilization rate reached 94 percent as of 11 Feb with more enterprises that had suspended operations due to the novel coronavirus outbreak resuming production, an official said on 13 February 2020.",,,,,,,,,,,,,,http://www.china.org.cn/china/2020-02/13/content_75702243.htm
China,2/13/2020,Media,,"On 13 February 2020, China reported 254 new deaths and a spike in virus cases of 15,152, after the hardest-hit province of Hubei applied a new classification system that broadens the scope of diagnoses for the outbreak.
The new diagnostic approach came on the same day that Hubei and its stricken capital, Wuhan, replaced their top officials in an apparent response to public criticism of local authorities’ handling of the epidemic.
This figure now includes more than 13,000 cases of “clinical diagnosis” in Hubei, which appears to include those based on a doctors’ analysis combined with lung imaging, as opposed to waiting for laboratory test results.
In breaking down the large number of new cases in China, National Health Commission spokesman Mi Feng said Hubei had adopted a revised diagnosis and treatment plan aimed at accelerating the identification and treatment of patients.
",,,,,,,,,,,,,,https://globalnews.ca/news/6545746/coronavirus-china-diagnosis-testing/
China,2/13/2020,Media,1006306099,"China has shipped a total of 726,700 protective suits and other medical supplies to Hubei, according to wednesday's death toll, to help the hardest-hit province fight the COVID-19 epidemic, according to a head of the Ministry of Industry and Information Technology.",,,,,,,,,,,,,,
China,2/13/2020,Media,,"As the scientific community scrambles to find a drug that can effectively treat tens of thousands of patients sickened by a new respiratory virus, they are trying some surprising remedies: medicines targeting known killers like HIV, Ebola and malaria.",,,,,,,,,,,,,,https://www.news-medical.net/news/20200213/To-fight-Chinese-outbreak-doctors-deploy-drugs-targeting-HIV-malaria-and-Ebola.aspx
China,2/13/2020,Media,,"Shanghai on Wednesday Feb 12 issued a Japanese version of a raft of supportive measures for businesses in a bid to assist foreign-invested companies to weather the storm of the novel coronavirus epidemic.
The move came after the city’s unveiling of 28 supportive measures last week to beef up financial support to enterprises that have contributed to the fight against the epidemic by reducing or exempting rent and introducing tax incentives, with foreign enterprises treated on an equal footing.",,,,,,,,,,,,,,https://infosurhoy.com/news/shanghai-releases-multilingual-versions-of-measures-supporting-foreign-firms/
China,2/13/2020,Media,,Chinese researchers announced 13 February that they have isolated a strain of the new coronavirus from a stool sample from an infected patient.,,,,,,,,,,,,,,
China,2/13/2020,Media,1006305797,State-owned enterprises run by central authorities are accelerating the production of equipment to fight the epidemic.,,,,,,,,,,,,,,
China,2/13/2020,Official,1006309997,"An expert from Wuhan has called upon cured patients who were infected with the novel coronavirus (COVID-19) to donate plasma at hospitals as antibodies have been identified in the plasma of some patients. Initial results have indicated the effectiveness of plasma transfusion in curing patients diagnosed with COVID-19 infection, the head of Wuhan Jinyintan Hospital, a major designated hospital to admit confirmed cases, during a provincial press conference Thursday 13 February.",,,,,,,,,,,,,x,http://www.china.org.cn/china/2020-02/14/content_75703363.htm
China,2/13/2020,Official,,"China has stepped up efforts to curb the spread of the novel coronavirus. Here are the latest developments:
• Hubei province adopted new methodology and reported 14,840 new cases of the novel coronavirus (COVID-19), including 13,332 clinically diagnosed cases, and 242 deaths, including 135 clinical cases, on Feb 12. The total confirmed cases in Hubei reached 48,206 by Feb 12.
• A total of 2,600 additional medical personnel from the armed forces will be tasked with treating patients in two hospitals in Wuhan, the epicenter of the novel coronavirus outbreak.
• A State Council joint task force issued a circular to regulate the use of air-conditioning and ventilation systems in offices and public places amid an effort to contain the novel coronavirus. Those facilities should be halted once a suspected or confirmed case of pneumonia caused by the virus is identified there.
• As it advances epidemic control with all-out efforts, China will enhance macro-economic regulation, and step up production, allocation and supply of key materials, to maintain social and economic progress, according to a State Council's executive meeting chaired by Premier Li Keqiang.
• Beijing urged pharmacies to carry out real-name registration for customers who buy fever and cough medicine. They are required to register their names, addresses, ID card numbers and contact information, as well as the symptoms.
",,,,,x,,,,,,,,,http://en.nhc.gov.cn/2020-02/13/c_76514.htm
China,2/13/2020,Media,1006310151,"Chinese companies have improved the sterilization method to speed up the production of medical protective clothing for the country’s fight against the novel coronavirus (COVID-19) outbreak.
A subsidiary company of the China National Nuclear Corporation (CNNC) has started to adopt the irradiation sterilization, a key step to increasing the production efficiency for protective clothing, according to a report by the Science and Technology Daily on Thursday 13 February. With this method, sterilization of over 10,000 medical protective suits were completed within six hours, said Kang Siqing, the company’s manager. The irradiation sterilization mainly uses cobalt-60 and electron beams as radioactive sources.",,,,,x,,,,,,,,,https://infosurhoy.com/news/china-focus-chinese-companies-upgrade-sterilization-to-speed-up-protective-clothing-supply/
China,2/14/2020,Media,1006312741,"Chinese Foreign Ministry Spokesman indicated that over 30 states and four international organizations have sent humanitarian aid to China in order to fight the outbreak of the novel coronavirus. He added that China welcomes the genuine support and aid of the international community, and we thank them for it. As of February 14, governments of 33 states and four international organizations have sent medical supplies to China in order to combat the outbreak of the disease. Additionally, 17 states and one international organization have declared their plans to send humanitarian aid to China.",,,,,,,,,,,,,,
China,2/14/2020,Media,,"China's tech giant Alibaba on Wednesday launched an Artificial Intelligence (AI) system with functions such as identifying passersby with a fever or without masks, in a move to assist in the novel coronavirus control during the post-holiday travel peak.
The AI system is based on integrated technologies including thermal imaging for non-contact remote fever detection, with a margin of error within 0.3 degrees Celsius.
Once a passenger is suspected of having a fever, the system will automatically alert staff members and quickly locate the passenger, according to Yun Tao, an algorithm engineer of Alibaba.
The AI system will be firstly deployed in some outlets of Hema Fresh, Alibaba's fresh food chain, and will be gradually applied in more public places including hospitals, railway stations and subways.",,,,,,,,,,,,,,http://www.china.org.cn/china/2020-02/14/content_75703381.htm
China,2/14/2020,Media,,"China saw rising demand for medical waste treatment as the output of such waste soared amid the combat against the novel coronavirus (COVID-19), the China Securities Journal reported.
Newly-added medical waste is expected to total 179,000 tonnes nationwide in 2020 including 162,000 tonnes of used masks, surging over 25 percent from 2018, according to Ping An Securities.
Faced with the rising amount of medical waste, the Ministry of Ecology and Environment stressed separate treatment of infectious medical waste, safe transfer of the waste and reinforcement in emergency management.",,,,,,,,,,,,,,http://www.china.org.cn/china/2020-02/14/content_75703345.htm
China,2/14/2020,Media,,"An expert from Wuhan has called upon cured patients who were infected with the novel coronavirus (COVID-19) to donate plasma at hospitals as antibodies have been identified in the plasma of some patients.
Initial results have indicated the effectiveness of plasma transfusion in curing patients diagnosed with COVID-19 infection.",,,,,,,,,,,,,,http://www.china.org.cn/china/2020-02/14/content_75703363.htm
China,2/14/2020,Media,,"China has developed convalescent plasma to treat patients who are infected with the novel coronavirus (COVID-19), according to the China National Biotec Group.
The company said they have collected plasma from some recovered patients to prepare therapeutic products including convalescent plasma and immune globulin.
After strict blood biosafety tests, virus inactivation and antiviral activity tests, they have successfully developed convalescent plasma for clinical treatment and have used it to treat critically ill patients.
The company has set up a team to use special equipment to collect plasma from recovered patients in Wuhan since Jan. 20.",,,,,,,,,,,,,,http://www.china.org.cn/china/2020-02/14/content_75704732.htm
China,2/14/2020,Media,1006313755,"In terms of service, local authorities have set up a task force to deal with the problems faced by foreign students. It also handles the regular distribution of hygiene and health equipment to international students; free delivery of the meal to university campuses. A support service is now available to help students make purchases for them according to the list given by the students.
However, the Chinese local authorities have set up 41 urgent call numbers, a service for consultation on the epidemic and to offer psychological aid.",,,,,,,,,,,,,,
China,2/14/2020,Official,,"The leading group of the Communist Party of China (CPC) Central Committee on the prevention and control of the novel coronavirus outbreak also demanded efforts to improve patient treatment and expedite research on drugs.
Epidemic prevention and control in Hubei Province, particularly in the capital city of Wuhan, remain the top priority, said the leading group headed by Li, who is also a member of the Standing Committee of the Political Bureau of the CPC Central Committee.
While ordering Wuhan to speed up hospital admission and suspected case quarantine, the leading group instructed hard-hit cities in Hubei such as Xiaogan and Huanggang to carry out equally strict measures as in Wuhan in surveillance, quarantine and treatment.
A medical team member poses for a photo before leaving for Xianning City of Hubei Province at Changshui International Airport in Kunming, capital of southwest China's Yunnan Province, Feb. 12, 2020. 
Multiple steps such as spacing out return trips have prevented large-scale flows of people after the Spring Festival, said the meeting.
Each province is responsible for formulating differentiated epidemic prevention and control strategies based on their own conditions, according to the meeting.
Effective drugs and treatment are the key to contain the epidemic, the meeting noted, stressing more studies on the nearly 6,000 cured cases to improve treating plans.",,,,,,,,,,,,,,http://en.nhc.gov.cn/2020-02/14/c_76553.htm
China,2/16/2020,Media,1006326491,"The Guangzhou branch of the People’s Bank of China’s (PBOC) says it will destroy all banknotes collected by hospitals, wet markets and buses to ensure the safety of cash transactions as the country battles a coronavirus epidemic. Commercial banks in the province should put banknotes from these sectors aside, disinfect them and hand them in to the PBOC. The central bank said that in general it would use high temperatures or ultraviolet light to disinfect cash, and store the currency for more than 14 days before putting it back in circulation.
",,,,,,,,,,,,,,https://www.scmp.com/economy/china-economy/article/3050868/fresh-cash-old-china-central-bank-branch-destroy-banknotes
China,2/16/2020,Media,1006326489,"The China's first chartered train carrying about 300 migrant workers set off from Guiyang North Station in Southwest China's Guizhou province on 16 February in a bid to help them return to their workplaces, according to the local railway operator. The train, operated by the Sichuan branch under China State Railway Group, is expected to return the migrant workers to Hangzhou, East China's Zhejiang province, as many businesses resumed operation and are in need of the labor force. ",,,,,,,,,,,,,,http://www.ecns.cn/news/2020-02-16/detail-ifztrmvi9820859.shtml
China,2/16/2020,Media,1006326488,"Suizhou and Alibaba cities have been working together to develop a ""digital prevention system,"" which is realized through apps such as DingTalk or Alipay. People can sign up with their health conditions, report about possible infections, submit online inquiries and follow epidemic news. The new registration method not only shortened the process, but reduced the possibility of government employees getting infected. The digital prevention system is provided to local governments and communities for free. At least 29 provincial regions have adopted the system. 

",,,,,,,,,,,,,,http://www.ecns.cn/news/2020-02-16/detail-ifztrmvi9820861.shtml
China,2/16/2020,Media,1006326486,"Hubei Province listed 15 measures to effectively cut off the source of infection and block transmission. The measures included that all non-essential public places will be closed and mass gathering activities will be halted. Essential places, including supermarkets and pharmacies, will remain open but need to arrange reasonable business hours to control the flow of people. These places will need to check the body temperature of each entry and register the information, including name, contact information and identification number, of those who purchase fever or cough medicine. In addition, access to all villages and communities across the province are locked up to control residents' exit and prevent vehicles and outsiders from entering. The province will also strengthen traffic control in each city to reduce motor vehicle travel. All vehicles are prohibited from running, except for vehicles used for anti-epidemic efforts, officials, medical personnel and transportation of daily necessities, as well as other vehicles, such as ambulance, fire engines, rescue cars and police cars.",,,,,,,,,,,,,,http://www.ecns.cn/news/2020-02-16/detail-ifztrmvi9821149.shtml
China,2/16/2020,Media,1006326485,"China's top State assets regulator urged all capable centrally-administrated State-owned enterprises to deliver urgently needed medical materials on time, as in wartime mode. Manufacturers of urgently needed materials, such as facial masks and medical protective clothing, should maximize their production potential, and those capable should work in these areas to further ensure supply, said the State-owned Assets Supervision and Administration Commission of the State Council in an online statement. ",,,,,,,,,,,,,,http://www.ecns.cn/news/2020-02-16/detail-ifztrmvi9821141.shtml
China,2/16/2020,Media,1006326466,"The outbreak of new coronary pneumonia continued, and the Water Supplies Department responded to the outbreak by increasing the residual chlorine content in factory water from 1 mg per litre to about 1.2 mg per litre to enhance the protection of clean water. The Secretary for Development said that after the increase in residual chlorine content, it was still well below the guidelines of the Drinking Water Quality Guidelines, which were recommended by the World Health Organization to be equal to or below 5 mg per litre.",,,,,,,,,,,,,,
China,2/16/2020,Media,1006323504,"Services like non-contact vegetable delivery, face scanning in unmanned supermarkets and takeaway collection from courier cabinets are growing more popular in China. The State Post Bureau stated at a press conference the need to actively promote the use of smart express boxes. The governments of Shandong, Chongqing and other regions also issued notices to encourage non-contact delivery services. Besides, the State Taxation Administration also advocated contactless tax payment services to reduce the risks of the virus spreading.
",,,,,,,,,,,,,,
China,2/16/2020,Media,1006326455,"On 15 February, the Ministry of Science and Technology issued a directive calling for improved management of viruses by all biological labs, and for the facilities to ensure biological safety.
",,,,,,,,,,,,,,https://www.scmp.com/news/china/society/article/3050872/chinese-research-lab-denies-rumours-links-first-coronavirus
China,2/17/2020,Media,1006330373,"Traditional Chinese medicine (TCM) has been proven effective in curing patients of the novel coronavirus pneumonia (COVID-19), a Chinese health official said Monday Feb 17. 
For example, a TCM decoction named ""Qingfei Paidutang"" has been used in treating 701 confirmed cases in 10 provinces, of which 130 have been cured and discharged, said an official with the National Administration of TCM.",,,,,,,,,,,,x,,
China,2/17/2020,Media,,"Clinically diagnosed cases, which have been treated as confirmed cases from Feb. 13, have driven the surge in the number of new confirmed cases in China's Hubei Province, center of the novel coronavirus disease (COVID-19) outbreak. The inclusion of the cases, however, boosts the confidence of frontline medical workers in their battle against the epidemic.
Any suspected cases with pneumonia-related CT scan results are counted as clinically diagnosed cases, according to the latest version of the diagnosis and treatment scheme released by the National Health Commission.",,,,,,,,,,,,,,http://www.china.org.cn/china/2020-02/17/content_75712428.htm
China,2/17/2020,Media,,"A total of 10,844 patients infected with the novel coronavirus had been discharged from hospital after recovery by the end of Feb. 16, Chinese health authority announced Monday Feb 17.",,,,,,,,,,,,,,http://www.china.org.cn/china/2020-02/17/content_75712202.htm
China,2/17/2020,Media,,"China has focused on controlling chains of virus transmission in the fight against the novel coronavirus outbreak, a health official said Sunday Feb 16.
Prevention and control measures, worked out by a joint mechanism, feature controlling the source of infection, interrupting virus transmission and protecting the public, especially the susceptible population, Zhou Yuhui, an official with the National Health Commission (NHC), told a press conference in Beijing.
On controlling the source of infection, the NHC has kept updating a prevention and control plan and guided local work in terms of case identification, reporting, epidemiological investigation and close contact management, he said.",,,,,,,,,,,,,,http://www.china.org.cn/china/2020-02/17/content_75711435.htm
China,2/17/2020,Media,1006331221,"Chinese experts have reported that, according to various clinical trials, it is confirmed that chloroquine phosphate, an antimalarial medicine, has some curative effect on the new coronavirus disease (COVID-19), so it has been suggested that this drug is included in the next version of the treatment guidelines.",,,,,,,,,,,,,,
China,2/17/2020,Media,1006331148,"It is possible that covid-19, the coronavirus, is transmitted by surfaces, and the Chinese Central Bank has determined that retail banks will need to detoxify the notes before putting them back into circulation.
The Central Bank of China ruled on Saturday (15), that the country's currency paper will be disinfected and notes that may be contaminated, destroyed, as a strategy to contain covid-19, coronavirus.",,,,,,,,,,,,,,
